"period_start","max_WHT","scaled_time"
2015-03-13,3.13,1.19693234730211
2015-03-16,3.79,1.20514927417146
2015-03-19,4.02,1.21336620104081
2015-03-22,2.48,1.22158312791016
2015-03-25,2.75,1.22980005477951
2015-03-28,3.55,1.23801698164886
2015-03-31,2.3,1.24623390851821
2015-04-03,2.39,1.25445083538756
2015-04-06,2.22,1.26266776225692
2015-04-09,1.51,1.27088468912627
2015-04-12,2.01,1.27910161599562
2015-04-15,3.31,1.28731854286497
2015-04-18,2.18,1.29553546973432
2015-04-21,2.43,1.30375239660367
2015-04-24,2.99,1.31196932347302
2015-04-27,2.85,1.32018625034237
2015-04-30,2.64,1.32840317721172
2015-05-03,2.43,1.33662010408107
2015-05-06,1.66,1.34483703095042
2015-05-09,1.93,1.35305395781978
2015-05-12,1.67,1.36127088468913
2015-05-15,2.51,1.36948781155848
2015-05-18,2.03,1.37770473842783
2015-05-21,1.33,1.38592166529718
2015-05-24,2.67,1.39413859216653
2015-05-27,2.25,1.40235551903588
2015-05-30,1.62,1.41057244590523
2015-06-02,2.12,1.41878937277458
2015-06-05,1.78,1.42700629964393
2015-06-08,1.62,1.43522322651328
2015-06-11,1.35,1.44344015338263
2015-06-14,1.21,1.45165708025199
2015-06-17,1.21,1.45987400712134
2015-06-20,1.17,1.46809093399069
2015-06-23,1.26,1.47630786086004
2015-06-26,1.28,1.48452478772939
2015-06-29,1.45,1.49274171459874
2015-07-02,1.32,1.50095864146809
2015-07-05,1.34,1.50917556833744
2015-07-08,1.09,1.51739249520679
2015-07-11,1.11,1.52560942207614
2015-07-14,1.24,1.53382634894549
2015-07-17,1.2,1.54204327581485
2015-07-20,1.58,1.5502602026842
2015-07-23,1.63,1.55847712955355
2015-07-26,1.32,1.5666940564229
2015-07-29,1.34,1.57491098329225
2015-08-01,1.6,1.5831279101616
2015-08-04,1.41,1.59134483703095
2015-08-07,1.17,1.5995617639003
2015-08-10,1.16,1.60777869076965
2015-08-13,1.6,1.615995617639
2015-08-16,1.4,1.62421254450835
2015-08-19,2.16,1.6324294713777
2015-08-22,1.88,1.64064639824706
2015-08-25,1.94,1.64886332511641
2015-08-28,1.88,1.65708025198576
2015-08-31,1.13,1.66529717885511
2015-09-03,1.35,1.67351410572446
2015-09-06,1.25,1.68173103259381
2015-09-09,1.2,1.68994795946316
2015-09-12,1.06,1.69816488633251
2015-09-15,1.44,1.70638181320186
2015-09-18,1.47,1.71459874007121
2015-09-21,2.27,1.72281566694056
2015-09-24,2.01,1.73103259380991
2015-09-27,3.51,1.73924952067927
2015-09-30,3.39,1.74746644754862
2015-10-03,5.09,1.75568337441797
2015-10-06,2.13,1.76390030128732
2015-10-09,2.07,1.77211722815667
