"X","period_start","max_WHT","scaled_time","frac_scaled_time","threshold","amount_over_threshold","reconstruct"
1,"2013-12-31",2.6,0,0,4.66021831115948,0,3.03924610476888
2,"2014-01-03",3.32,0.00821692686935086,0.00821692686935086,4.65892910265632,0,3.04662465048135
3,"2014-01-06",3.12,0.0164338537387017,0.0164338537387017,4.65506491276803,0,3.05258724528304
4,"2014-01-09",3.22,0.0246507806080526,0.0246507806080526,4.64863603920253,0,3.05708186197077
5,"2014-01-12",2.62,0.0328677074774034,0.0328677074774034,4.63965961431209,0,3.06005977640029
6,"2014-01-15",2.25,0.0410846343467543,0.0410846343467543,4.62815955943713,0,3.0613747383347
7,"2014-01-18",1.98,0.0493015612161052,0.0493015612161052,4.61416652115814,0,3.06134607802735
8,"2014-01-21",2.74,0.057518488085456,0.057518488085456,4.5977177896253,0,3.05967709825591
9,"2014-01-24",3.51,0.0657354149548069,0.0657354149548069,4.57885719918376,0,3.05633432515424
10,"2014-01-27",3.49,0.0739523418241578,0.0739523418241578,4.55763501155913,0,3.0512886635084
11,"2014-01-30",3.13,0.0821692686935086,0.0821692686935086,4.53410778191464,0,3.04451558121512
12,"2014-02-02",2.78,0.0903861955628595,0.0903861955628595,4.50833820813691,0,3.03680845596495
13,"2014-02-05",2.51,0.0986031224322104,0.0986031224322104,4.48039496375184,0,3.0266886455118
14,"2014-02-08",2.49,0.106820049301561,0.106820049301561,4.45035251491605,0,3.0147960835775
15,"2014-02-11",2.39,0.115036976170912,0.115036976170912,4.4182909219715,0,3.00112585561496
16,"2014-02-14",2.87,0.123253903040263,0.123253903040263,4.38429562609205,0,2.97915974664365
17,"2014-02-17",2.99,0.131470829909614,0.131470829909614,4.3484572215907,0,2.96171972958814
18,"2014-02-20",2.82,0.139687756778965,0.139687756778965,4.31087121449408,0,2.94254177265314
19,"2014-02-23",2.42,0.147904683648316,0.147904683648316,4.27163776802781,0,2.92356193880946
20,"2014-02-26",2,0.156121610517666,0.156121610517666,4.23086143569074,0,2.901123986189
21,"2014-03-01",2.45,0.164338537387017,0.164338537387017,4.18865088262957,0,2.87701530426571
22,"2014-03-04",2.1,0.172555464256368,0.172555464256368,4.14511859605633,0,2.85126986789804
23,"2014-03-07",2.03,0.180772391125719,0.180772391125719,4.10038058548035,0,2.82392716374496
24,"2014-03-10",2.06,0.18898931799507,0.18898931799507,4.0545560735537,0,2.79503216048978
25,"2014-03-13",2.58,0.197206244864421,0.197206244864421,4.00776717835385,0,2.76747780150856
26,"2014-03-16",2.15,0.205423171733772,0.205423171733772,3.96013858795031,0,2.73577988080749
27,"2014-03-19",1.69,0.213640098603122,0.213640098603122,3.91179722812252,0,2.69492614477335
28,"2014-03-22",1.69,0.221857025472473,0.221857025472473,3.86287192411433,0,2.64022369506659
29,"2014-03-25",4.37,0.230073952341824,0.230073952341824,3.81349305732676,0.556506942673241,2.69388588184001
30,"2014-03-28",4.32,0.238290879211175,0.238290879211175,3.76379221786357,0.556207782136429,2.73435320849742
31,"2014-03-31",2.25,0.246507806080526,0.246507806080526,3.71390185385589,0,2.59849727523248
32,"2014-04-03",2.45,0.254724732949877,0.254724732949877,3.66395491850016,0,2.51557634469418
33,"2014-04-06",1.96,0.262941659819228,0.262941659819228,3.61408451575027,0,2.4760374609641
34,"2014-04-09",1.84,0.271158586688578,0.271158586688578,3.56442354560776,0,2.43569358321761
35,"2014-04-12",2.06,0.279375513557929,0.279375513557929,3.5151043499557,0,2.39464169561402
36,"2014-04-15",2.71,0.28759244042728,0.28759244042728,3.46625835987983,0,2.35298239055988
37,"2014-04-18",2.62,0.295809367296631,0.295809367296631,3.41801574541686,0,2.31081961211145
38,"2014-04-21",1.66,0.304026294165982,0.304026294165982,3.37050506866342,0,2.27280018273379
39,"2014-04-24",3.45,0.312243221035333,0.312243221035333,3.32385294116999,0.126147058830011,2.23004482163181
40,"2014-04-27",1.99,0.320460147904684,0.320460147904684,3.27818368653282,0,2.18710903779329
41,"2014-04-30",2.54,0.328677074774035,0.328677074774035,3.23361900908309,0,2.14410721787131
42,"2014-05-03",2.11,0.336894001643385,0.336894001643385,3.19027766955616,0,2.09703334517895
43,"2014-05-06",1.65,0.345110928512736,0.345110928512736,3.14827516860516,0,2.05468235313693
44,"2014-05-09",1.96,0.353327855382087,0.353327855382087,3.10772343900254,0,2.01771563597436
45,"2014-05-12",1.7,0.361544782251438,0.361544782251438,3.06873054734953,0,1.97614295752547
46,"2014-05-15",2.45,0.369761709120789,0.369761709120789,3.03140040608869,0,1.93510353201425
47,"2014-05-18",2.4,0.37797863599014,0.37797863599014,2.99583249658689,0,1.89471629251527
48,"2014-05-21",1.53,0.386195562859491,0.386195562859491,2.96212160402668,0,1.85509993403554
49,"2014-05-24",1.48,0.394412489728841,0.394412489728841,2.93035756481256,0,1.81637255295646
50,"2014-05-27",1.53,0.402629416598192,0.402629416598192,2.90062502716527,0,1.77865128425467
51,"2014-05-30",1.56,0.410846343467543,0.410846343467543,2.87300322554217,0,1.74746909299004
52,"2014-06-02",2.01,0.419063270336894,0.419063270336894,2.84756576948472,0,1.7121102908743
53,"2014-06-05",1.94,0.427280197206245,0.427280197206245,2.82438044745588,0,1.67809208564885
54,"2014-06-08",1.39,0.435497124075596,0.435497124075596,2.80350904619014,0,1.64552413752355
55,"2014-06-11",1.11,0.443714050944947,0.443714050944947,2.7850071860376,0,1.61451335033137
56,"2014-06-14",1.46,0.451930977814297,0.451930977814297,2.76892417274091,0,1.58516351993895
