#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50  71  9.1 10.7  1.90  7.14  5.77  78 1020.7  25.5  26.0 999.0 99.0 99.00
2014 01 01 00 50  72  8.1  9.7  2.07  7.69  5.90  96 1021.1  25.6  26.0 999.0 99.0 99.00
2014 01 01 01 50  74  8.7 10.2  1.94  8.33  5.81 105 1021.2  25.5  26.0 999.0 99.0 99.00
2014 01 01 02 50  70  8.6 10.2  1.95  7.69  5.68  87 1021.2  25.5  26.0 999.0 99.0 99.00
2014 01 01 03 50  71  8.9 10.6  2.20  8.33  6.19  92 1021.0  25.4  26.0 999.0 99.0 99.00
2014 01 01 04 50  63  8.4  9.7  2.08  7.14  5.76  85 1020.7  25.4  26.0 999.0 99.0 99.00
2014 01 01 05 50  67  8.9 10.6  2.01  8.33  5.75 101 1020.2  25.3  26.0 999.0 99.0 99.00
2014 01 01 06 50  69  8.9 10.6  2.00  7.69  5.82 107 1019.9  25.3  26.1 999.0 99.0 99.00
2014 01 01 07 50  59  8.4  9.7  1.97  8.33  5.80  86 1019.7  25.2  26.2 999.0 99.0 99.00
2014 01 01 08 50  64  8.7 10.6  2.02  8.33  5.78 109 1019.7  25.2  26.2 999.0 99.0 99.00
2014 01 01 09 50  63  8.4 10.4  2.01  8.33  5.70  89 1019.6  25.2  26.2 999.0 99.0 99.00
2014 01 01 10 50  63  8.8 10.5  2.03  8.33  5.73 102 1020.0  25.3  26.2 999.0 99.0 99.00
2014 01 01 11 50  68  9.2 10.9  2.07  7.69  5.79  90 1020.8  25.4  26.2 999.0 99.0 99.00
2014 01 01 12 50  67  9.4 11.1  1.91  8.33  5.53  96 1021.4  25.5  26.2 999.0 99.0 99.00
2014 01 01 13 50  65  9.5 11.1  2.05  8.33  5.67 104 1021.7  25.6  26.2 999.0 99.0 99.00
2014 01 01 14 50  59  8.1  9.8  1.99  8.33  5.67  96 1021.5  25.4  26.2 999.0 99.0 99.00
2014 01 01 15 50  68  9.0 10.3  1.92  9.09  5.45 113 1020.7  25.5  26.3 999.0 99.0 99.00
2014 01 01 16 50  68  8.9 10.5  1.96  8.33  5.58  97 1019.8  25.4  26.3 999.0 99.0 99.00
2014 01 01 17 50  72  8.0 10.0  1.95  8.33  5.72 104 1019.2  25.5  26.3 999.0 99.0 99.00
2014 01 01 18 50  65  9.0 10.4  2.02  8.33  5.80  89 1018.8  25.5  26.3 999.0 99.0 99.00
2014 01 01 19 50  70  8.5  9.6  1.94  8.33  5.61 102 1018.8  25.6  26.3 999.0 99.0 99.00
2014 01 01 20 50  65  8.5  9.9  1.97  8.33  5.67  80 1019.2  25.5  26.3 999.0 99.0 99.00
2014 01 01 21 50  71  8.9 10.6  2.02  8.33  5.73 109 1019.5  25.4  26.3 999.0 99.0 99.00
2014 01 01 22 50  68  8.9 10.5  1.86  8.33  5.55 113 1020.0  25.4  26.3 999.0 99.0 99.00
2014 01 01 23 50  70  9.2 11.2  2.01  7.69  5.73  92 1020.2  25.4  26.3 999.0 99.0 99.00
2014 01 02 00 50  74  9.1 10.6  1.83  8.33  5.47 103 1020.4  25.4  26.3 999.0 99.0 99.00
2014 01 02 01 50  70  9.1 11.1  1.86  8.33  5.51  93 1020.6  25.4  26.3 999.0 99.0 99.00
2014 01 02 02 50  76  9.4 11.1  2.04  8.33  5.78  99 1020.2  25.3  26.2 999.0 99.0 99.00
2014 01 02 03 50  74  9.0 10.9  1.85  7.69  5.50 109 1020.0  25.3  26.2 999.0 99.0 99.00
2014 01 02 04 50  88  8.8 10.5  1.95  8.33  5.63 108 1019.5  25.1  26.2 999.0 99.0 99.00
2014 01 02 05 50  82  8.7 10.2  2.03  7.69  5.80  97 1019.1  25.3  26.2 999.0 99.0 99.00
2014 01 02 06 50  84  8.6 10.3  1.89  8.33  5.51  99 1018.7  25.3  26.2 999.0 99.0 99.00
2014 01 02 07 50  77  9.3 10.8  1.83  8.33  5.61 108 1018.4  25.2  26.1 999.0 99.0 99.00
2014 01 02 08 50  80  9.1 10.6  1.84  7.69  5.58  95 1018.6  25.3  26.1 999.0 99.0 99.00
2014 01 02 09 50  76  8.7 10.3  1.91  8.33  5.71  92 1018.7  25.1  26.1 999.0 99.0 99.00
2014 01 02 10 50  79  8.2  9.7  1.92  8.33  5.62  95 1019.2  25.1  26.2 999.0 99.0 99.00
2014 01 02 11 50  81  8.7 10.5  1.90  8.33  5.53 107 1019.9  25.4  26.2 999.0 99.0 99.00
2014 01 02 12 50  82  8.9 10.5  2.01  8.33  5.81 102 1020.5  25.4  26.2 999.0 99.0 99.00
2014 01 02 13 50  86  8.7 10.3  1.96  7.69  5.64  97 1020.7  25.5  26.2 999.0 99.0 99.00
2014 01 02 14 50  82  8.5  9.9  2.01  8.33  5.69  94 1020.6  25.5  26.1 999.0 99.0 99.00
2014 01 02 15 50  74  8.8 10.6  2.06  8.33  5.80  90 1019.9  25.2  26.0 999.0 99.0 99.00
2014 01 02 16 50  80  8.3  9.7  2.14  7.69  5.95  96 1019.1  25.3  26.1 999.0 99.0 99.00
2014 01 02 17 50  83  8.2  9.9  2.02  8.33  5.79 100 1018.3  25.3  26.2 999.0 99.0 99.00
2014 01 02 18 50  76  8.3  9.5  2.16  8.33  6.02 114 1017.8  25.4  26.2 999.0 99.0 99.00
2014 01 02 19 50  78  8.0  9.8  2.10  8.33  6.06 112 1017.8  25.4  26.2 999.0 99.0 99.00
2014 01 02 20 50  83  8.3 10.3  2.10 17.39  6.13  20 1017.7  25.3  26.1 999.0 99.0 99.00
2014 01 02 21 50  77  8.4 10.3  2.04  8.33  6.01 108 1018.0  25.1  26.1 999.0 99.0 99.00
2014 01 02 22 50  78  8.2  9.7  2.16 17.39  6.35  25 1018.4  25.4  26.0 999.0 99.0 99.00
2014 01 02 23 50  84  9.0 10.6  2.09  8.33  6.06 111 1018.6  25.3  26.0 999.0 99.0 99.00
2014 01 03 00 50  93  9.3 11.1  2.11  8.33  5.96 109 1018.9  25.3  26.1 999.0 99.0 99.00
2014 01 03 01 50  86  9.6 11.3  2.12 17.39  6.03  23 1019.0  25.2  26.1 999.0 99.0 99.00
