#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 12 31 23 50  88  9.5 11.1  2.51  8.33  6.50 102 1020.9  26.4  26.9  20.2 99.0 99.00
2016 01 01 00 50  88  9.4 11.4  2.50  9.09  6.45 107 1021.1  26.4  26.9  20.7 99.0 99.00
2016 01 01 01 50  95  9.8 11.3  2.70  9.09  6.67  99 1021.1  26.4  26.9  20.1 99.0 99.00
2016 01 01 02 50  93 10.0 11.5  2.56  8.33  6.44  87 1020.9  26.5  26.8  17.8 99.0 99.00
2016 01 01 03 50  90  8.9 10.9  2.61  9.09  6.47  93 1020.5  26.3  26.8  18.7 99.0 99.00
2016 01 01 04 50  86  8.0  9.8  2.70  9.09  6.75 106 1020.0  26.1  26.8  20.1 99.0 99.00
2016 01 01 05 50  81  8.6 10.6  2.62  9.09  6.84  94 1019.4  26.1  26.8  20.5 99.0 99.00
2016 01 01 06 50  84  9.0 10.9  2.50  9.09  6.75  95 1018.7  26.1  26.8  20.0 99.0 99.00
2016 01 01 07 50  90  8.1  9.6  2.49  9.09  6.45 101 1018.4  26.1  26.8  20.5 99.0 99.00
2016 01 01 08 50  83  7.7 10.4  2.50 10.00  6.48  82 1018.6  26.0  26.8  20.5 99.0 99.00
2016 01 01 09 50  86  8.3 10.5  2.60  9.09  6.67  98 1019.0  25.9  26.8  20.5 99.0 99.00
2016 01 01 10 50  80  7.7  9.4  2.41  9.09  6.41 106 1019.5  26.1  26.8  19.9 99.0 99.00
2016 01 01 11 50  77  8.0  9.9  2.45  9.09  6.65  93 1020.0  26.1  26.8  20.5 99.0 99.00
2016 01 01 12 50  80  8.0  9.5  2.17  9.09  6.29  97 1020.3  26.2  26.8  20.2 99.0 99.00
2016 01 01 13 50  76  8.0  9.0  2.34  9.09  6.65 100 1020.8  26.2  26.9  20.9 99.0 99.00
2016 01 01 14 50  77  8.0 10.0  2.18  9.09  6.70  99 1020.5  26.2  26.9  21.6 99.0 99.00
2016 01 01 15 50  88  7.8  9.2  2.13  9.09  6.37  97 1019.8  26.2  26.9  21.5 99.0 99.00
2016 01 01 16 50  90  6.5  7.8  2.28  9.09  6.41 105 1019.2  26.1  26.9  21.6 99.0 99.00
2016 01 01 17 50  71  4.1  6.0  2.04  9.09  6.46  94 1018.7  24.6  26.9  21.0 99.0 99.00
2016 01 01 18 50  92  7.0  8.3  1.94  9.09  6.60  93 1018.0  26.3  27.0  21.2 99.0 99.00
2016 01 01 19 50  83  6.4  7.5  1.80  9.09  6.18 104 1017.8  26.2  26.9  21.4 99.0 99.00
2016 01 01 20 50  87  6.7  7.7  1.90  9.09  6.38 105 1017.9  26.2  26.9  21.6 99.0 99.00
2016 01 01 21 50  80  7.4  8.9  2.00  9.09  6.53 105 1018.2  26.1  26.9  22.2 99.0 99.00
2016 01 01 22 50  84  7.4  8.7  1.96  9.09  6.34  92 1018.4  26.1  26.9  21.6 99.0 99.00
2016 01 01 23 50  80  6.3  7.9  2.01  9.09  6.69 104 1019.0  26.0  26.9  22.1 99.0 99.00
2016 01 02 00 50  95  6.4  7.7  1.79  9.09  6.25 111 1019.4  26.3  26.9  21.6 99.0 99.00
2016 01 02 01 50  94  6.7  7.9  1.86  9.09  6.41  96 1019.7  26.2  26.9  21.4 99.0 99.00
2016 01 02 02 50  92  6.7  7.8  1.78  9.09  6.35  99 1019.7  26.3  26.9  21.8 99.0 99.00
2016 01 02 03 50  95  6.8  8.1  1.76  9.09  6.30 105 1019.4  26.2  26.9  21.3 99.0 99.00
2016 01 02 04 50  97  7.4  8.8  1.89  9.09  6.33 101 1018.9  26.1  26.8  21.2 99.0 99.00
2016 01 02 05 50  94  6.6  7.9  1.79  9.09  6.54  99 1018.3  26.1  26.8  21.6 99.0 99.00
2016 01 02 06 50  97  7.1  8.0  1.83  9.09  6.20 110 1017.7  26.2  26.8  20.6 99.0 99.00
2016 01 02 07 50  94  7.3  8.2  1.70 10.00  6.09 100 1017.3  26.1  26.8  21.2 99.0 99.00
2016 01 02 08 50 110  7.7  8.8  1.84  9.09  6.19 116 1017.3  26.0  26.8  20.8 99.0 99.00
2016 01 02 09 50  97  7.2  8.7  1.75  8.33  5.91  92 1017.5  25.9  26.8  21.4 99.0 99.00
2016 01 02 10 50 144  8.3  9.8  1.81  9.09  5.98  98 1018.1  24.6  26.8  21.7 99.0 99.00
2016 01 02 11 50  94  7.6  9.2  1.86  9.09  5.89 101 1018.8  26.1  26.8  19.7 99.0 99.00
2016 01 02 12 50 102  7.7  9.5  2.02  9.09  6.05 102 1019.5  26.4  26.8  19.5 99.0 99.00
2016 01 02 13 50 106  6.9  8.2  1.96  9.09  6.22  95 1020.1  26.3  26.8  19.6 99.0 99.00
2016 01 02 14 50 111  6.9  8.7  1.90  9.09  6.11 100 1020.1  26.4  26.8  20.4 99.0 99.00
2016 01 02 15 50 114  6.9  8.2  1.97  8.33  6.14 106 1019.3  26.4  26.9  20.2 99.0 99.00
2016 01 02 16 50 114  6.4  7.8  1.98  9.09  6.39  87 1018.4  26.4  26.9  21.0 99.0 99.00
2016 01 02 17 50 118  5.8  7.5  1.86  9.09  6.16  90 1017.4  26.4  26.9  20.8 99.0 99.00
2016 01 02 18 50 107  6.3  7.4  1.86  9.09  6.27  92 1016.8  26.4  26.9  20.3 99.0 99.00
2016 01 02 19 50 107  6.1  8.1  1.98  9.09  6.49  96 1016.6  26.3  26.9  20.0 99.0 99.00
2016 01 02 20 50 111  6.3  7.6  1.87  8.33  6.49 109 1016.9  26.4  26.9  20.2 99.0 99.00
2016 01 02 21 50 105  5.8  6.8  1.91  9.09  6.43  88 1017.2  26.3  26.9  20.5 99.0 99.00
2016 01 02 22 50 108  5.6  7.1  1.90  9.09  6.84  98 1017.7  26.4  26.9  20.2 99.0 99.00
2016 01 02 23 50 104  5.6  7.1  1.94  9.09  6.83  98 1018.1  26.4  26.8  20.9 99.0 99.00
2016 01 03 00 50  93  8.0  9.5  1.85  9.09  6.67 100 1018.5  26.3  26.8  21.3 99.0 99.00
2016 01 03 01 50 104  7.5  8.9  1.81  9.09  6.48 100 1018.9  26.2  26.8  21.3 99.0 99.00
2016 01 03 02 50 101  6.8  8.2  1.97  9.09  6.39  90 1018.8  26.3  26.8  21.3 99.0 99.00
2016 01 03 03 50 115  6.6  8.0  1.85 10.00  6.45  93 1018.5  26.3  26.8  20.3 99.0 99.00
2016 01 03 04 50 111  6.0  7.1  1.78  9.09  6.27  98 1018.0  26.3  26.8  20.5 99.0 99.00
2016 01 03 05 50 135 10.0 13.2  1.78  9.09  6.35 101 1017.5  24.2  26.8  21.0 99.0 99.00
2016 01 03 06 50 138  4.3 10.9  1.81  9.09  6.54  96 1017.1  24.7  26.8  21.8 99.0 99.00
2016 01 03 07 50 165  6.5  8.9  1.90  9.09  6.56  88 1016.7  24.7  26.8  21.4 99.0 99.00
2016 01 03 08 50 148  4.1  5.2  1.78  9.09  6.27 104 1016.8  25.0  26.8  21.3 99.0 99.00
2016 01 03 09 50 115  7.4  8.8  1.86  9.09  6.20  93 1016.8  25.7  26.8  21.2 99.0 99.00
2016 01 03 10 50 116  7.2  8.5  1.88 10.00  6.19 102 1017.5  26.0  26.8  20.8 99.0 99.00
2016 01 03 11 50 110  6.8  8.2  1.78 10.00  5.98  96 1018.2  26.3  26.8  20.6 99.0 99.00
2016 01 03 12 50 112  7.8  9.7  1.93  9.09  6.24 101 1019.0  26.4  26.8  20.4 99.0 99.00
2016 01 03 13 50 107  8.7 10.5  1.87  9.09  5.89  95 1019.4  26.2  26.8  21.4 99.0 99.00
2016 01 03 14 50 112  7.8  9.2  1.91  9.09  5.96 108 1019.3  26.2  26.8  20.5 99.0 99.00
2016 01 03 15 50 109  7.1  8.8  2.00  9.09  6.15 104 1018.6  26.2  26.9  21.2 99.0 99.00
2016 01 03 16 50 102  6.7  8.2  2.06  9.09  6.26  95 1017.8  25.4  26.9  21.2 99.0 99.00
2016 01 03 17 50 110  6.0  7.9  1.91  9.09  5.91  98 1016.9  25.4  26.9  21.6 99.0 99.00
2016 01 03 18 50 106 10.3 12.4  1.91  9.09  6.15 101 1016.3  25.2  26.9  22.0 99.0 99.00
2016 01 03 19 50 106  8.2  9.7  1.88  9.09  5.71  96 1016.3  25.8  26.8  20.5 99.0 99.00
2016 01 03 20 50 120  8.3  9.6  1.86  9.09  5.73  91 1016.5  25.9  26.8  21.5 99.0 99.00
2016 01 03 21 50 158 10.5 13.1  1.80 10.00  6.05 109 1017.3  23.1  26.8  21.4 99.0 99.00
2016 01 03 22 50 166  3.0  3.8  1.80  9.09  6.17 103 1017.5  24.5  26.8  20.6 99.0 99.00
2016 01 03 23 50 125  2.5  3.4  1.82  9.09  6.45 104 1017.9  25.0  26.8  21.3 99.0 99.00
2016 01 04 00 50 117  7.4  9.3  1.63  9.09  6.07  95 1018.1  26.4  26.8  20.9 99.0 99.00
2016 01 04 01 50 112  7.7  9.6  1.80  9.09  5.98  99 1018.4  26.4  26.8  21.0 99.0 99.00
2016 01 04 02 50 108  8.8 10.2  1.87  9.09  5.82  99 1018.3  26.2  26.8  20.4 99.0 99.00
2016 01 04 03 50 110  8.4 10.0  1.79  8.33  5.67  97 1017.8  26.1  26.8  19.9 99.0 99.00
2016 01 04 04 50 116  7.2  8.8  1.82  9.09  5.78 108 1017.4  26.1  26.8  20.4 99.0 99.00
2016 01 04 05 50 106  7.7  9.2  1.69 10.00  5.85 104 1016.6  26.1  26.8  21.2 99.0 99.00
2016 01 04 06 50 100  7.5  9.0  1.78  8.33  5.85  98 1016.0  26.0  26.8  21.0 99.0 99.00
2016 01 04 07 50 104  7.4  8.9  1.81  9.09  5.85  87 1015.6  26.0  26.8  20.6 99.0 99.00
2016 01 04 08 50  99  6.3  7.7  1.70 10.00  5.71 111 1015.6  26.0  26.8  21.0 99.0 99.00
2016 01 04 09 50 110  8.1  9.9  1.76 10.00  5.98  97 1015.4  25.9  26.8  21.2 99.0 99.00
2016 01 04 10 50 118  7.8  9.8  1.78 10.00  5.84 104 1015.8  25.8  26.8  21.6 99.0 99.00
2016 01 04 11 50 118  8.7 10.1  1.86  9.09  5.88  98 1016.5  26.3  26.8  20.7 99.0 99.00
2016 01 04 12 50 115  9.2 11.5  1.88 10.00  6.00 105 1017.3  26.3  26.8  20.9 99.0 99.00
2016 01 04 13 50 111  8.3  9.4  1.75 10.00  5.78 121 1017.8  26.3  26.8  21.3 99.0 99.00
2016 01 04 14 50 128  7.3  8.8  1.84  9.09  6.00 103 1017.6  26.5  26.8  21.3 99.0 99.00
2016 01 04 15 50 122  8.7 10.6  1.94  9.09  5.95 102 1016.8  26.0  26.8  21.2 99.0 99.00
2016 01 04 16 50 133  7.6  9.8  1.94  8.33  5.94  99 1016.1  26.4  26.8  21.5 99.0 99.00
2016 01 04 17 50 125  6.6  7.7  1.87  9.09  5.95 112 1015.0  26.1  26.9  21.4 99.0 99.00
2016 01 04 18 50 135  7.4  9.2  1.89  7.69  5.87 102 1014.6  26.6  26.8  20.8 99.0 99.00
2016 01 04 19 50 129  7.2  8.3  1.98  7.69  5.98 107 1014.9  26.5  26.8  21.0 99.0 99.00
2016 01 04 20 50 127  7.2  8.6  2.05  8.33  6.09 100 1015.2  26.5  26.8  21.5 99.0 99.00
2016 01 04 21 50 134  7.1  8.7  1.96  9.09  6.06 100 1015.6  26.5  26.8  21.3 99.0 99.00
2016 01 04 22 50 140  6.3  7.7  1.84  9.09  5.78  94 1016.1  26.4  26.8  21.2 99.0 99.00
2016 01 04 23 50 138  5.7  6.8  1.92  8.33  6.10  91 1016.7  26.2  26.8  21.6 99.0 99.00
2016 01 05 00 50 136  6.0  7.0  1.80  9.09  6.14  98 1017.2  26.4  26.8  21.5 99.0 99.00
2016 01 05 01 50 131  6.1  7.3  1.81  7.69  6.07 101 1017.5  26.3  26.8  21.5 99.0 99.00
2016 01 05 02 50 114  3.9  5.4  1.85  9.09  6.22  85 1017.4  25.3  26.8  19.9 99.0 99.00
2016 01 05 03 50 130  5.4  6.4  1.91  9.09  6.38 102 1017.1  26.0  26.8  20.6 99.0 99.00
2016 01 05 04 50 140  5.2  6.4  1.97  9.09  6.44 101 1016.9  26.2  26.8  21.7 99.0 99.00
2016 01 05 05 50 107  5.9  8.9  2.13  9.09  6.69  95 1016.5  25.0  26.8  21.4 99.0 99.00
2016 01 05 06 50  95  3.2  4.4  2.06  9.09  6.67 104 1016.0  25.2  26.8  19.9 99.0 99.00
2016 01 05 07 50 123  4.5  5.4  1.94 10.00  6.65 113 1015.6  25.8  26.8  21.6 99.0 99.00
